Site;Gesp;Abond
S1;Potr;2
S1;Elre;4
S1;Popr;4
S1;Lope;7
S1;Acmi;1
S10;Acmi;4
S10;Potr;4
S10;Leau;3
S10;Lope;6
S10;Anod;4
S10;Vila;1
S10;Trre;6
S10;Brho;4
S10;Brru;2
S10;Plla;3
S10;Popr;4
S10;Bepe;2
S11;Sapr;2
S11;Popr;4
S11;Vila;2
S11;Hyra;2
S11;Trre;3
S11;Lope;7
S11;Leau;5
S11;Plla;3
S11;Brru;4
S12;Sapr;4
S12;Brru;4
S12;Jubu;4
S12;Alge;8
S12;Agst;4
S12;Potr;4
S12;Leau;2
S12;Ruac;2
S12;Trre;3
S13;Potr;9
S13;Popr;2
S13;Leau;2
S13;Rafl;2
S13;Jubu;3
S13;Sapr;2
S13;Agst;5
S13;Chal;1
S13;Alge;5
S13;Trre;2
S14;Trre;6
S14;Rafl;2
S14;Leau;2
S14;Cacu;4
S14;Agst;4
S14;Elpa;4
S14;Popa;2
S15;Rafl;2
S15;Trre;1
S15;Agst;4
S15;Popa;2
S15;Juar;3
S15;Brru;4
S15;Leau;2
S15;Elpa;5
S16;Cacu;3
S16;Elpa;8
S16;Brru;4
S16;Potr;2
S16;Alge;4
S16;Agst;7
S16;Juar;3
S16;Rafl;2
S17;Acmi;2
S17;Hyra;2
S17;Aipr;2
S17;Plla;2
S17;Leau;2
S17;Popr;1
S17;Anod;4
S18;Popr;3
S18;Leau;5
S18;Bepe;2
S18;Plla;3
S18;Brru;6
S18;Lope;2
S18;Sare;3
S18;Trre;2
S18;Vila;1
S19;Anod;4
S19;Sare;3
S19;Hyra;5
S19;Aipr;3
S19;Brru;3
S19;Emni;2
S19;Sapr;3
S19;Trre;2
S19;Leau;6
S2;Trre;5
S2;Bepe;3
S2;Alge;2
S2;Lope;5
S2;Acmi;3
S2;Popr;4
S2;Elre;4
S2;Leau;5
S2;Brho;4
S2;Potr;7
S20;Rafl;4
S20;Sare;5
S20;Cacu;3
S20;Agst;5
S20;Juar;4
S20;Brru;4
S20;Leau;2
S20;Elpa;4
S3;Popr;5
S3;Trre;2
S3;Alge;7
S3;Elre;4
S3;Lope;6
S3;Brru;2
S3;Agst;4
S3;Bepe;2
S3;Leau;2
S3;Potr;6
S4;Elre;4
S4;Ciar;2
S4;Trre;1
S4;Brru;2
S4;Leau;2
S4;Alge;2
S4;Bepe;2
S4;Sapr;5
S4;Brho;3
S4;Agst;8
S4;Popr;4
S4;Lope;5
S4;Potr;5
S5;Brho;2
S5;Potr;6
S5;Leau;3
S5;Lope;2
S5;Ruac;5
S5;Brru;2
S5;Popr;2
S5;Acmi;2
S5;Anod;4
S5;Trre;2
S5;Plla;5
S5;Bepe;2
S5;Elre;4
S5;Trpr;2
S6;Potr;4
S6;Lope;6
S6;Popr;3
S6;Leau;3
S6;Brru;6
S6;Trre;5
S6;Trpr;5
S6;Acmi;2
S6;Ruac;6
S6;Anod;3
S6;Plla;5
S7;Brru;2
S7;Potr;5
S7;Leau;3
S7;Brho;2
S7;Anod;2
S7;Trre;2
S7;Jubu;2
S7;Popr;4
S7;Ruac;3
S7;Lope;6
S7;Trpr;2
S7;Plla;5
S7;Acmi;2
S8;Trre;2
S8;Brru;2
S8;Elpa;4
S8;Juar;4
S8;Alge;5
S8;Popr;4
S8;Lope;4
S8;Agst;4
S8;Potr;4
S8;Leau;3
S8;Rafl;2
S8;Sapr;2
S9;Lope;2
S9;Potr;5
S9;Brru;2
S9;Jubu;4
S9;Trre;3
S9;Ruac;2
S9;Alge;3
S9;Agst;3
S9;Leau;2
S9;Elre;6
S9;Popr;4
S9;Sapr;2
S9;Juar;4
