Pays;Nom_pays;Climat;Continent;STot;SFor;SBois;dSFor;SFpri;SFrn;SFpl;VFor;VrRes;Vr2E;Vr10E;BFor
ARG;Argentina;Aride;Amerique;273669;27112;64376;-0,01;1738;24172;1202;2667;0,163104612;0,31;0,68;4953
AUT;Austria;Tempere;Europe;8244;3869;153;0,001;114;2063;1692;1155;0,802597403;0,69;0,93;639
BEN;Benin;Tropical;Afrique;11062;4311;2889;-0,012;0;4288;23;152;0;0,06;0,15;426
BGD;Bangladesh;Tropical;Asie;13017;1429;294;-0,002;411;744;274;86;0;0,26;0,5;177
BLR;Belarus;Froid;Europe;20748;8634;540;0,004;400;6323;1910;1669;0,668663871;0,73;1;1053
BTN;Bhutan;Tempere;Asie;3812;2755;432;0,004;413;2320;22;510;0,2;0,48;0,79;455
CAF;Central African Republic;Tropical;Afrique;62298;22170;32731;-0,001;1988;20180;2;3751;0;0,04;0,09;4877
CHE;Switzerland;Tempere;Europe;4000;1254;70;0,003;40;1042;172;442;0,674208145;0,62;0,95;241
CHN;China;Tempere;Asie;942530;208321;103637;0,011;11632;117707;78982;16002;0,410011249;0,16;0,54;10945
CZE;Czech Republic;Tempere;Europe;7722;2667;0;0,001;10;24;2643;791;0,811630847;0,76;0,95;657
DEU;Germany;Tempere;Europe;34861;11419;0;0;0;6124;5295;3663;0,612066612;0,55;0,95;2053
DZA;Algeria;Aride;Afrique;238174;1956;2569;0,006;0;1400;556;89;0,337078652;0,62;0,74;67
ESP;Spain;Tempere;Europe;49880;18418;9209;0,012;0;15509;2909;1212;0,523927393;0,28;0,81;916
EST;Estonia;Froid;Europe;4239;2232;224;0;58;2000;174;476;0,539915966;0,54;0,99;267
FIN;Finland;Froid;Europe;30390;22218;801;0,001;230;15212;6775;2320;0,797844828;0,8;1;1193
FRA;France;Tempere;Europe;54766;16989;590;0,007;0;15022;1967;2935;0,355366269;0,34;0,77;2224
GEO;Georgia;Tempere;Asie;6949;2822;7;0,001;500;2250;72;455;0,272527473;0,68;0,97;337
GNQ;Equatorial Guinea;Tropical;Afrique;2805;1568;9;-0,007;0;1568;0;258;0;0,39;0,89;335
HRV;Croatia;Tempere;Europe;5596;1922;569;0,002;7;1840;75;415;0,130120482;0,48;0,86;417
HUN;Hungary;Tempere;Europe;9127;2069;121;0,006;0;417;1652;377;0,145888594;0,25;0,84;204
IDN;Indonesia;Tropical;Asie;171857;91010;26748;-0,011;46024;40040;4946;10227;0;0,55;0,88;18777
IND;India;Tropical;Asie;297319;70682;4124;0,004;15701;42950;12031;5167;0,100058061;0,14;0,26;3100
IRN;Iran;Aride;Asie;184806;10692;3627;0,007;200;9551;941;394;0,098984772;0,65;0,96;276
ITA;Italy;Tempere;Europe;29414;9297;1813;0,008;93;8565;639;1385;0,392779783;0,35;0,75;1028
KAZ;Kazakhstan;Froid;Asie;269970;3309;16479;-0,001;0;2408;901;364;0,656593407;0,51;1;211
KEN;Kenya;Aride;Afrique;56914;4413;9365;-0,003;0;4193;220;836;0,074162679;0,07;0,07;1086
KOR;Korea, Rep.;Tempere;Asie;9710;6184;0;-0,001;3460;858;1866;918;0,60130719;0,52;0,77;649
LAO;Lao PDR;Tropical;Asie;23080;18761;2846;0,002;1194;17455;113;920;0,009782609;0,21;0,38;1886
LTU;Lithuania;Froid;Europe;6268;2180;104;0,005;26;1584;570;515;0,584466019;0,58;0,99;271
LVA;Latvia;Froid;Europe;6220;3356;112;0,002;16;2728;612;665;0,535338346;0,61;1;432
MAR;Morocco;Aride;Afrique;44630;5632;580;0,005;0;4926;706;154;0,337662338;0,55;0,94;367
MEX;Mexico;Aride;Amerique;194395;66040;19715;-0,002;33056;32897;87;4727;0,395599746;0,1;0,3;3364
MYS;Malaysia;Tropical;Asie;32855;22195;0;0;5041;15188;1966;5034;0;0,26;0,74;4782
NIC;Nicaragua;Tropical;Amerique;12034;3114;2219;-0,015;1234;1832;48;482;0,029045643;0,09;0,23;599
NOR;Norway;Froid;Europe;30427;12112;2012;0;160;10423;1529;1157;0,726879862;0,71;0,96;744
NZL;New Zealand;Tempere;Oceanie;26331;10152;1060;0,002;2160;5905;2087;3975;0,284528302;0,28;0,63;2233
PAK;Pakistan;Aride;Asie;77088;1472;1521;-0,021;0;1110;362;135;0,837037037;0,53;1;272
PHL;Philippines;Tropical;Asie;29817;8040;7036;0,008;861;5934;1245;1298;0,021571649;0,23;0,58;1160
POL;Poland;Tempere;Europe;30622;9435;0;0,002;59;419;8957;2540;0,689370079;0,64;0,96;1458
ROM;Romania;Froid;Europe;23002;6861;90;0,003;283;6009;569;1930;0,315544041;0,64;0,87;1102
RUS;Russian Federation;Froid;Asie;1637687;814931;74925;0;272718;522372;19841;81488;0,706067151;0,49;0,99;52400
SEN;Senegal;Aride;Afrique;19253;8273;5250;-0,005;1508;6204;561;308;0;0,21;0,54;540
SRB;Serbia;Tempere;Europe;8746;2720;508;0,007;1;2504;215;418;0,114832536;0,52;0,83;394
SUR;Suriname;Tropical;Amerique;16066;15332;0;0;14019;1300;13;3816;0;0,17;0,36;3625
SVK;Slovak Republic;Froid;Europe;4809;1940;0;0;24;956;960;532;0,45112782;0,64;0,99;362
SVN;Slovenia;Tempere;Europe;2014;1248;23;0,002;49;1165;34;432;0,456018519;0,62;0,9;244
SWE;Sweden;Froid;Europe;41034;28073;2432;0;2417;11919;13737;2989;0,830043493;0,83;0,99;1671
TUN;Tunisia;Aride;Afrique;15536;1041;293;0,019;0;316;725;27;0,62962963;0,63;0,84;15
TUR;Turkey;Aride;Asie;76963;11715;10130;0,008;913;7416;3386;1506;0,658034529;0,46;0,98;1284
TZA;Tanzania;Tropical;Afrique;88580;46060;7984;-0,008;0;45770;290;3333;0,171617162;0,18;0,28;9332
UKR;Ukraine;Froid;Europe;57938;9657;26;0,002;59;4738;4860;2196;0,494535519;0,6;0,97;1267
USA;United States;Tempere;Amerique;916192;310095;21279;0,001;75300;208431;26364;40699;0,572053367;0,2;0,45;28933
UZB;Uzbekistan;Aride;Asie;44066;3220;115;0,002;73;2345;802;55;0,272727273;0,83;0,91;62
